N,PROFILE,FOLLOWERS,POSTS,Platform
1,Instagram ,539446645,7202,Instagram 
2,Cristiano Ronaldo ,473864939,3338,Instagram 
3,Kylie <U+0001F90D> ,364542529,6935,Instagram 
4,Leo Messi ,355790796,890,Instagram 
5,Selena Gomez ,341579063,1828,Instagram 
6,Dwayne Johnson ,333221596,6738,Instagram 
7,Kim Kardashian ,328323322,5598,Instagram 
8,Ariana Grande ,326473270,4963,Instagram 
9,Beyonce´ ,272211534,2037,Instagram 
10,Khloe´ Kardashian ,267912338,4104,Instagram 
11,Justin Bieber ,253285832,7330,Instagram 
12,Kendall ,252632221,674,Instagram 
13,National Geographic ,236500488,27045,Instagram 
14,Nike ,233371786,948,Instagram 
15,Taylor Swift ,221732794,536,Instagram 
16,Jennifer Lopez ,220169794,3126,Instagram 
17,Virat Kohli ,211074078,1405,Instagram 
18,Barbie ,201394982,6343,Instagram 
19,Kourtney Kardashian Barker <U+2764><U+FE0F><U+200D><U+0001F525> ,194512673,4352,Instagram 
20,Miley Cyrus ,180959274,1181,Instagram 
21,NJ <U+0001F1E7><U+0001F1F7> ,176935982,5271,Instagram 
22,KATY PERRY ,169597869,2047,Instagram 
23,Kevin Hart ,151581146,8211,Instagram 
24,Zendaya ,150280418,3540,Instagram 
25,Demi Lovato ,138781881,47,Instagram 
26,badgalriri ,135053892,4837,Instagram 
27,<U+0001F451> ,130398630,2344,Instagram 
28,Ellen DeGeneres ,124943799,10549,Instagram 
29,Real Madrid C.F. ,123177126,6815,Instagram 
30,champagnepapi ,119117889,5212,Instagram 
31,BREEZY ,117994690,7322,Instagram 
32,FC Barcelona ,111257233,16952,Instagram 
33,BILLIE EILISH ,105134435,695,Instagram 
34,UEFA Champions League ,96634213,17942,Instagram 
35,DUA LIPA ,85756579,1259,Instagram 
36,Gal Gadot ,85305143,1684,Instagram 
37,Vin Diesel ,82187552,1824,Instagram 
38,NASA ,81215401,3563,Instagram 
39,Priyanka ,80986405,3530,Instagram 
40,LISA ,80723426,868,Instagram 
41,Khaby Lame ,78697857,291,Instagram 
42,Shakira ,76041310,1989,Instagram 
43,snoopdogg ,75284700,54207,Instagram 
44,Gigi Hadid ,75207736,3253,Instagram 
45,David Beckham ,74912255,1537,Instagram 
46,Shraddha <U+2736> ,73878089,1875,Instagram 
47,Victoria's Secret ,73190174,2861,Instagram 
48,Kylian Mbappe´ ,72705315,1155,Instagram 
49,Neha Kakkar (Mrs. Singh) ,70404564,2286,Instagram 
50,NBA ,69922564,50977,Instagram 
51,Shawn Mendes ,69887832,2534,Instagram 
52,Narendra Modi ,68816270,540,Instagram 
53,J ,68733032,860,Instagram 
54,Alia Bhatt <U+0001F90D><U+2600><U+FE0F> ,68517743,1833,Instagram 
55,Deepika Padukone ,68295084,275,Instagram 
56,Tom Holland ,67722305,1218,Instagram 
57,Ronaldo de Assis Moreira ,67646939,2959,Instagram 
58,Emma Watson ,67296368,345,Instagram 
59,BTS official ,66769961,1092,Instagram 
60,Katrina Kaif ,66186703,1005,Instagram 
61,Marvel Entertainment ,66083072,7055,Instagram 
62,Justin Timberlake ,65817755,784,Instagram 
63,camila ,64887038,2888,Instagram 
64,Will Smith ,63991832,1365,Instagram 
65,Raffi Ahmad and Nagita Slavina ,63437657,17509,Instagram 
66,Anitta <U+0001F3A4> ,63122857,5135,Instagram 
67,MALUMA ,62858032,8135,Instagram 
68,Akshay Kumar ,62777257,1881,Instagram 
69,JISOO<U+0001F90D> ,62683010,829,Instagram 
70,Jacqueline Fernandez ,62637438,2443,Instagram 
71,Paris Saint-Germain ,61860116,9867,Instagram 
72,ROSE´ ,61660597,818,Instagram 
73,Manchester United ,59520626,22777,Instagram 
74,AnushkaSharma1588 ,59477707,1165,Instagram 
75,Whindersson Nunes ,58718833,2734,Instagram 
76,Premier League ,58541952,19991,Instagram 
77,9GAG: Go Fun The World ,58125945,30005,Instagram 
78,Marcelo Vieira ,57970008,2695,Instagram 
79,Millie Bobby Brown ,57350069,299,Instagram 
80,Karim Benzema ,56760930,2023,Instagram 
81,Chris Hemsworth ,55866652,851,Instagram 
82,KAROL G ,55413300,3296,Instagram 
83,Paul Labile Pogba ,55138512,1302,Instagram 
84,Zlatan Ibrahimovic ,55048835,875,Instagram 
85,Leonardo DiCaprio ,54518260,1689,Instagram 
86,Juventus ,54472637,12633,Instagram 
87,Zac Efron ,54434089,666,Instagram 
